,intensity_mean_avg,intensity_std_avg,entropy_avg,edge_density_avg,laplacian_var_avg,foreground_ratio_avg,crowd_proxy_avg,temporal_diff_mean_avg,temporal_diff_std_avg,flow_mean_avg,flow_std_avg,flow_q90_avg,flow_max_avg,brightness_drift,motion_peak,abrupt_change_ratio,flow_dir_bin_0,flow_dir_bin_1,flow_dir_bin_2,flow_dir_bin_3,flow_dir_bin_4,flow_dir_bin_5,flow_dir_bin_6,flow_dir_bin_7
flow_q90_avg,-0.12477255256917603,0.10173961068943077,0.13962260254784892,-0.008926993047192093,-0.0818178345220506,0.7658094734684046,0.7262275624405318,0.7838300172814902,0.785349076091182,0.9727075266486074,0.9905435450416791,1.0,0.9495162345169436,-0.04823316060796663,0.7505544980618841,,-0.11316022923431157,-0.15100467238313386,-0.19756017571869028,0.32610701735024955,0.3558848578805989,-0.2615453293451675,-0.1817042282970087,-0.04242924838159007
flow_max_avg,-0.1818585337947561,0.2303540094261674,0.22641649015497262,-0.03273839032797373,-0.09224015267954398,0.7481482066802442,0.7056842218956622,0.7499696592449238,0.7929338912545619,0.9265260059719892,0.9783439752370964,0.9495162345169436,1.0,-0.10621360548104748,0.7127183228561462,,-0.09411075956487226,-0.08736529613379825,-0.14789815059538078,0.3780637524738699,0.3586855323203269,-0.2931762205963415,-0.23353076141014809,-0.14575139821674027
brightness_drift,0.0791665330268712,-0.005613351771551999,0.030439097347151958,0.06652526603814071,0.015685467569084083,-0.06580512144732738,-0.056644559257301934,-0.08126578713446281,-0.09702317642612783,-0.05902479967272942,-0.06240260947656967,-0.04823316060796663,-0.10621360548104748,1.0,-0.0403022983209262,,0.04112378035621711,0.02065932682417949,0.07189456851468641,-0.009648498345627537,-0.07362112808200959,-0.08244855246606643,-0.0025774030304367515,0.0030929179526574726
motion_peak,-0.12741123863267617,-0.07548758656071188,-0.03740080660283063,-0.07517858444142143,-0.16120125820417844,0.6400351341473433,0.5924991960123205,0.6469623171447234,0.5923238777433445,0.8058396908738483,0.7241113632194984,0.7505544980618841,0.7127183228561462,-0.0403022983209262,1.0,,-0.1011332700749392,-0.19062946702478775,-0.22095943085420663,0.09857311540079806,0.22345426314229108,0.023256258987680058,0.05788975397828069,0.06040206178927996
abrupt_change_ratio,,,,,,,,,,,,,,,,,,,,,,,,
flow_dir_bin_0,-0.2669835683436607,0.314322748889508,0.22665560539432775,-0.0099755265340368,-0.016618203902610044,-0.19429836995639033,-0.18797878405593996,-0.19582177120203315,-0.18524772396015074,-0.145111601039586,-0.1044878135228641,-0.11316022923431157,-0.09411075956487226,0.04112378035621711,-0.1011332700749392,,1.0,0.6604918411895683,0.0904708505172698,-0.4243605382220871,-0.5357687982664818,-0.29782389109585566,-0.23744365495450173,-0.10408952067325328
flow_dir_bin_1,-0.20365764811116488,0.584162871520993,0.46026087213691347,0.07812150247583408,0.029288467802778575,-0.33260695873063517,-0.3061244303764327,-0.3492441137622923,-0.34475504749861124,-0.24312255527035256,-0.12982587954514282,-0.15100467238313386,-0.08736529613379825,0.02065932682417949,-0.19062946702478775,,0.6604918411895683,1.0,0.5492220926589797,-0.20892169187340337,-0.5415920509234191,-0.35443190992745566,-0.4636202293278446,-0.4896559745769698
flow_dir_bin_2,0.14016695475274446,0.5782094045079987,0.57069121766153,0.3645263056866639,0.1138575723323912,-0.27816829863730563,-0.21803508274181987,-0.30374518161795505,-0.2901013299323294,-0.27621781675200374,-0.17524616830517545,-0.19756017571869028,-0.14789815059538078,0.07189456851468641,-0.22095943085420663,,0.0904708505172698,0.5492220926589797,1.0,0.152547351164604,-0.43005359552163874,-0.45435253053910957,-0.5339183249515954,-0.5313006563719382
flow_dir_bin_3,0.1891578291607813,0.4076307259656353,0.5381925387508029,0.40684045345790176,0.42893653383842345,0.4326782362513711,0.4845445625179431,0.4116284479724256,0.4376793299933172,0.2996249446812517,0.3682361364949655,0.32610701735024955,0.3780637524738699,-0.009648498345627537,0.09857311540079806,,-0.4243605382220871,-0.20892169187340337,0.152547351164604,1.0,0.5958778372104168,-0.4769966346451065,-0.6135934881593159,-0.6009370227880411
flow_dir_bin_4,-0.08592381478887215,-0.17152421828001724,-0.012985278510721118,0.08414779548292828,0.271907492200137,0.42582606190950084,0.4373549068461821,0.4517836402014067,0.3913964302610735,0.36158091880439674,0.36851998834947236,0.3558848578805989,0.3586855323203269,-0.07362112808200959,0.22345426314229108,,-0.5357687982664818,-0.5415920509234191,-0.43005359552163874,0.5958778372104168,1.0,0.1591329891891439,-0.12699128130615417,-0.26164946522874327
